tweet_id,keyword,tweet_text_raw,text_clean,disaster_class,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
4,ablaze,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8","""lord jesus, your love brings freedom and pardon. fill me with your holy spirit and set my heart ablaze with your l… url",Non-disaster,0.005517510697245598,0.05319228023290634,0.9412901997566223,0.9357726890593767,Positive
6,ablaze,"Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2","several houses have been set ablaze in ngemsibaa village, oku sub division in the north west region of cameroon by… url",Disaster-related,0.7226853966712952,0.26943808794021606,0.007876579649746418,-0.7148088170215487,Negative
20,ablaze,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,cameroon's #bir soldiers on the 05/01/2020 invaded the #southerncameroons village of kimar - so setting ablaze a total of…,Disaster-related,0.7427772879600525,0.25127124786376953,0.00595140503719449,-0.736825882922858,Negative
55,accident,I actually posted this by accident to twitter but have decided this can stay,i actually posted this by accident to twitter but have decided this can stay,Non-disaster,0.13235034048557281,0.7927510142326355,0.07489870488643646,-0.05745163559913635,Neutral
60,accident,"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA","the speeding car rammed into a group of people, who were returning after attending a temple festival of ayyappan ka… url",Disaster-related,0.45659053325653076,0.5284919142723083,0.014917517080903053,-0.4416730161756277,Neutral
72,aftershock,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,tickets on sale!!!!!!!!!! - aftershock url #nowplaying #k4hdradio,Non-disaster,0.004347730427980423,0.4556661546230316,0.5399860739707947,0.5356383435428143,Positive
78,aftershock,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,puerto rico hit by another 5.9 magnitude aftershock - kyma url,Disaster-related,0.23715455830097198,0.7412629723548889,0.021582476794719696,-0.2155720815062523,Neutral
87,aftershock,И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,и снова о кризисе демографии (yakov_z) url,Non-disaster,0.042965859174728394,0.8980929255485535,0.05894123762845993,0.015975378453731537,Neutral
106,aftershock,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,puerto rico hit by another 5.9 magnitude aftershock - kyma url,Disaster-related,0.23715455830097198,0.7412629723548889,0.021582476794719696,-0.2155720815062523,Neutral
111,aftershock,We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,we continue to update our 30-day aftershock forecast scenarios for #puertorico. forecasts are posted in both english url,Non-disaster,0.0043097794987261295,0.9012565016746521,0.09443368762731552,0.09012390812858939,Neutral
119,airplane accident,"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C","that’s a load of rubbish, there was never an imminent threat, jesus christ!!!iran sho… url",Non-disaster,0.868830680847168,0.1189672127366066,0.012202124111354351,-0.8566285567358136,Negative
129,airplane accident,How is it that Iran fired between 12 and 20 surface to surface missiles...…..then FIRED A SURFACE TO AIR MISSILE AT… https://t.co/mpkttFCAFB,how is it that iran fired between 12 and 20 surface to surface missiles...…..then fired a surface to air missile at… url,Non-disaster,0.5310438871383667,0.4558477997779846,0.013108305633068085,-0.5179355815052986,Negative
130,airplane accident,"Basically, you killed the general, put the whole country into a confusing status, they shoot a civ… https://t.co/P1lKrqhP1Y","basically, you killed the general, put the whole country into a confusing status, they shoot a civ… url",Non-disaster,0.8931926488876343,0.10196711122989655,0.004840275272727013,-0.8883523736149073,Negative
138,airplane accident,"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…","just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…",Non-disaster,0.19677841663360596,0.77000892162323,0.03321260213851929,-0.16356581449508667,Neutral
140,airplane accident,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,so iran can shoot down a commercial airplane and claim it was an accident. does anyone really believe that?!!! 😡😡😡😡,Disaster-related,0.9248090386390686,0.06946491450071335,0.0057260883040726185,-0.919082950334996,Negative
147,airplane accident,"Hey, got some swamp land for sale. You are either naive or just plain stupid! Which is it? Iran downing t… https://t.co/fu3cjJf1q8","hey, got some swamp land for sale. you are either naive or just plain stupid! which is it? iran downing t… url",Non-disaster,0.8485669493675232,0.13409548997879028,0.01733754575252533,-0.8312294036149979,Negative
155,airplane accident,"It is unimaginable to have 174 people gone in one ""accident."" How could anyone point a surface to air missile at a… https://t.co/7Abwo7HXuz","it is unimaginable to have 174 people gone in one ""accident."" how could anyone point a surface to air missile at a… url",Non-disaster,0.9059678316116333,0.08823389559984207,0.00579826021566987,-0.9001695713959634,Negative
160,airplane accident,Good lord...... Yeah. It was an accident. The airplane didn't give the missile the right away.... 😒,good lord...... yeah. it was an accident. the airplane didn't give the missile the right away.... 😒,Non-disaster,0.9256643056869507,0.06810755282640457,0.006228149402886629,-0.919436156284064,Negative
173,airplane accident,"Yeah, yer well prepared ...hit a few buildings &amp; knocked down yer own airplane by accident ...better keep d… https://t.co/ww1W8LOYVl","yeah, yer well prepared ...hit a few buildings &amp; knocked down yer own airplane by accident ...better keep d… url",Non-disaster,0.45762646198272705,0.39881211519241333,0.1435614377260208,-0.31406502425670624,Negative
177,airplane accident,# Trump in Accident # Crash - Airplane # Ukraine is the main factor as the most powerful person in the world whose count…,# trump in accident # crash - airplane # ukraine is the main factor as the most powerful person in the world whose count…,Non-disaster,0.3900245130062103,0.5435672998428345,0.0664081797003746,-0.3236163333058357,Neutral
